CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Acionista;Tipo_Classe_Acao_Preferencial;Quantidade_Acoes;Percentual_Acoes
01.417.222/0001-77;2024-12-31;9;147744;MRS LOGISTICA S.A.;7682294;Preferencial Classe A;27657084;5.049000
01.417.222/0001-77;2024-12-31;9;147744;MRS LOGISTICA S.A.;7682302;Preferencial Classe A;1026563;0.187000
01.417.222/0001-77;2024-12-31;9;147744;MRS LOGISTICA S.A.;7682326;Preferencial Classe A;513281;0.094000
01.417.222/0001-77;2024-12-31;9;147744;MRS LOGISTICA S.A.;7682346;Preferencial Classe A;6987367;1.276000
01.417.222/0001-77;2024-12-31;9;147744;MRS LOGISTICA S.A.;7682366;Preferencial Classe A;19609792;3.580000
01.417.222/0001-77;2024-12-31;9;147744;MRS LOGISTICA S.A.;7682367;Preferencial Classe A;378134098;69.034000
01.417.222/0001-77;2024-12-31;9;147744;MRS LOGISTICA S.A.;7682367;Preferencial Classe B;66261;100.000000
01.417.222/0001-77;2024-12-31;9;147744;MRS LOGISTICA S.A.;7682368;Preferencial Classe A;547752163;100.000000
01.417.222/0001-77;2024-12-31;9;147744;MRS LOGISTICA S.A.;7682368;Preferencial Classe B;66261;100.000000
01.417.222/0001-77;2024-12-31;9;147744;MRS LOGISTICA S.A.;7682372;Preferencial Classe A;0;0.000000
01.417.222/0001-77;2024-12-31;9;147744;MRS LOGISTICA S.A.;7682373;Preferencial Classe A;54257561;9.905000
01.417.222/0001-77;2024-12-31;9;147744;MRS LOGISTICA S.A.;7682377;Preferencial Classe A;55144456;10.067000
01.417.222/0001-77;2024-12-31;9;147744;MRS LOGISTICA S.A.;7682381;Preferencial Classe A;1283203;0.234000
01.417.222/0001-77;2024-12-31;9;147744;MRS LOGISTICA S.A.;7682401;Preferencial Classe A;27527671;5.026000
01.417.222/0001-77;2024-12-31;9;147744;MRS LOGISTICA S.A.;7682449;Preferencial Classe A;3138758;0.573000
