CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Capital_Social;Tipo_Classe_Acao_Preferencial;Quantidade_Acoes
14.110.585/0001-07;2024-12-31;16;148294;MÉLIUZ S.A.;333930;Ordinária Classe A;87189086
14.110.585/0001-07;2024-12-31;16;148294;MÉLIUZ S.A.;333931;Ordinária Classe A;87189086
14.110.585/0001-07;2024-12-31;16;148294;MÉLIUZ S.A.;333932;Ordinária Classe A;87189086
14.388.334/0001-99;2024-12-31;11;146810;PARANA BCO S.A.;331773;Preferencial Classe A;1629433514
14.388.334/0001-99;2024-12-31;11;146810;PARANA BCO S.A.;331773;Ordinária Classe A;1667815950
14.388.334/0001-99;2024-12-31;11;146810;PARANA BCO S.A.;331774;Preferencial Classe A;1629433514
14.388.334/0001-99;2024-12-31;11;146810;PARANA BCO S.A.;331774;Ordinária Classe A;1667815950
14.388.334/0001-99;2024-12-31;11;146810;PARANA BCO S.A.;331775;Ordinária Classe A;1667815950
14.388.334/0001-99;2024-12-31;11;146810;PARANA BCO S.A.;331775;Preferencial Classe A;1629433514
14.807.945/0001-24;2024-12-31;3;146274;SANSUY S.A. INDUSTRIA DE PLASTICOS;330485;Preferencial Classe A;5052280
14.807.945/0001-24;2024-12-31;3;146274;SANSUY S.A. INDUSTRIA DE PLASTICOS;330485;Preferencial Classe B;6200
14.807.945/0001-24;2024-12-31;3;146274;SANSUY S.A. INDUSTRIA DE PLASTICOS;330486;Preferencial Classe A;2800000000
14.807.945/0001-24;2024-12-31;3;146274;SANSUY S.A. INDUSTRIA DE PLASTICOS;330486;Preferencial Classe B;100000000
15.073.274/0001-88;2024-12-31;1;138753;PPLA PARTICIPATIONS LTD.;317127;Preferencial Classe A;938222
15.073.274/0001-88;2024-12-31;1;138753;PPLA PARTICIPATIONS LTD.;317127;Preferencial Classe B;1876444
15.073.274/0001-88;2024-12-31;1;138753;PPLA PARTICIPATIONS LTD.;317127;Preferencial Classe C;1
15.115.504/0001-24;2024-12-31;3;147108;TRONOX PIGMENTOS DO BRASIL S.A.;332332;Preferencial Classe A;12342238
15.115.504/0001-24;2024-12-31;3;147108;TRONOX PIGMENTOS DO BRASIL S.A.;332332;Preferencial Classe B;6518111
15.139.629/0001-94;2024-12-31;7;146411;CIA ELETRICIDADE EST. DA BAHIA - COELBA;330810;Preferencial Classe A;2919354
15.139.629/0001-94;2024-12-31;7;146411;CIA ELETRICIDADE EST. DA BAHIA - COELBA;330810;Preferencial Classe B;9000787
15.139.629/0001-94;2024-12-31;7;146411;CIA ELETRICIDADE EST. DA BAHIA - COELBA;330811;Preferencial Classe A;27220069
15.139.629/0001-94;2024-12-31;7;146411;CIA ELETRICIDADE EST. DA BAHIA - COELBA;330811;Preferencial Classe B;82878409
15.139.629/0001-94;2024-12-31;7;146411;CIA ELETRICIDADE EST. DA BAHIA - COELBA;330811;Ordinária Classe A;151997609
15.139.629/0001-94;2024-12-31;7;146411;CIA ELETRICIDADE EST. DA BAHIA - COELBA;330812;Preferencial Classe A;3153203
15.139.629/0001-94;2024-12-31;7;146411;CIA ELETRICIDADE EST. DA BAHIA - COELBA;330812;Preferencial Classe B;9563348
15.139.629/0001-94;2024-12-31;7;146411;CIA ELETRICIDADE EST. DA BAHIA - COELBA;330812;Ordinária Classe A;17620303
16.234.171/0001-15;2024-12-31;7;147134;METANOR SA METANOL DO NE;332359;Preferencial Classe A;87533575
16.234.171/0001-15;2024-12-31;7;147134;METANOR SA METANOL DO NE;332359;Preferencial Classe B;9746019
16.234.171/0001-15;2024-12-31;7;147134;METANOR SA METANOL DO NE;332359;Preferencial Classe C;99291408
16.234.171/0001-15;2024-12-31;7;147134;METANOR SA METANOL DO NE;332360;Preferencial Classe A;87533575
16.234.171/0001-15;2024-12-31;7;147134;METANOR SA METANOL DO NE;332360;Preferencial Classe B;9746019
16.234.171/0001-15;2024-12-31;7;147134;METANOR SA METANOL DO NE;332360;Preferencial Classe C;99291408
16.234.171/0001-15;2024-12-31;7;147134;METANOR SA METANOL DO NE;332361;Preferencial Classe A;87533575
16.234.171/0001-15;2024-12-31;7;147134;METANOR SA METANOL DO NE;332361;Preferencial Classe B;9746019
16.234.171/0001-15;2024-12-31;7;147134;METANOR SA METANOL DO NE;332361;Preferencial Classe C;99291408
16.234.171/0001-15;2024-12-31;7;147134;METANOR SA METANOL DO NE;332362;Preferencial Classe A;87533575
16.234.171/0001-15;2024-12-31;7;147134;METANOR SA METANOL DO NE;332362;Preferencial Classe B;9746019
16.234.171/0001-15;2024-12-31;7;147134;METANOR SA METANOL DO NE;332362;Preferencial Classe C;99291408
17.162.082/0001-73;2024-12-31;1;138104;MENDES JUNIOR ENGENHARIA S.A.;315661;Preferencial Classe B;1797735
17.162.082/0001-73;2024-12-31;1;138104;MENDES JUNIOR ENGENHARIA S.A.;315661;Preferencial Classe A;1534888
17.162.082/0001-73;2024-12-31;1;138104;MENDES JUNIOR ENGENHARIA S.A.;315661;Ordinária Classe A;6976765
17.167.396/0001-69;2024-12-31;7;146381;ALFA HOLDINGS S.A.;330760;Preferencial Classe A;14313881
17.167.396/0001-69;2024-12-31;7;146381;ALFA HOLDINGS S.A.;330760;Preferencial Classe B;24356756
21.389.501/0001-81;2024-12-31;9;146086;COMPASS GÁS E ENERGIA S.A.;330092;Preferencial Classe A;30853032
21.389.501/0001-81;2024-12-31;9;146086;COMPASS GÁS E ENERGIA S.A.;330092;Preferencial Classe B;54849373
24.962.466/0001-36;2024-12-31;8;145144;RUMO MALHA NORTE S.A.;329028;Preferencial Classe B;5625683
24.962.466/0001-36;2024-12-31;8;145144;RUMO MALHA NORTE S.A.;329028;Preferencial Classe A;76088610
24.962.466/0001-36;2024-12-31;8;145144;RUMO MALHA NORTE S.A.;329029;Preferencial Classe B;5625683
24.962.466/0001-36;2024-12-31;8;145144;RUMO MALHA NORTE S.A.;329029;Preferencial Classe A;76088610
24.962.466/0001-36;2024-12-31;8;145144;RUMO MALHA NORTE S.A.;329030;Preferencial Classe A;76088610
24.962.466/0001-36;2024-12-31;8;145144;RUMO MALHA NORTE S.A.;329030;Preferencial Classe B;5625683
30.306.294/0001-45;2024-12-31;7;143930;BCO BTG PACTUAL S.A.;326294;Preferencial Classe A;2864529000
30.306.294/0001-45;2024-12-31;7;143930;BCO BTG PACTUAL S.A.;326294;Preferencial Classe B;1397425360
33.040.601/0001-87;2024-12-31;6;147513;MERCANTIL FINANCEIRA S.A. - SOC. CRÉDITO, FINANC E INVESTIME;332961;Preferencial Classe A;16914403
33.040.601/0001-87;2024-12-31;6;147513;MERCANTIL FINANCEIRA S.A. - SOC. CRÉDITO, FINANC E INVESTIME;332961;Ordinária Classe A;24080768
