CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Capital_Social;Tipo_Capital;Data_Autorizacao_Aprovacao;Valor_Capital;Prazo_Integralizacao;Quantidade_Acoes_Ordinarias;Quantidade_Acoes_Preferenciais;Quantidade_Total_Acoes
01.545.826/0001-07;2024-12-31;15;147220;GAFISA S.A.;332457;Capital Subscrito;2024-09-19;1701598382.04;n/a;115936297;0;115936297
01.545.826/0001-07;2024-12-31;15;147220;GAFISA S.A.;332458;Capital Emitido;2024-09-19;1701598382.04;n/a;115936297;0;115936297
01.545.826/0001-07;2024-12-31;15;147220;GAFISA S.A.;332459;Capital Integralizado;2024-09-19;1701598382.04;n/a;115936297;0;115936297
01.545.826/0001-07;2024-12-31;15;147220;GAFISA S.A.;332460;Capital Autorizado;2020-08-07;0.00;N/A;442717977;0;442717977
01.548.981/0001-79;2024-12-31;5;146662;INVESTIMENTOS BEMGE S.A.;331409;Capital Emitido;2015-04-30;123144439.42;n/a;792124;1571812;2363936
01.548.981/0001-79;2024-12-31;5;146662;INVESTIMENTOS BEMGE S.A.;331410;Capital Integralizado;2015-04-30;123144439.42;n/a;792124;1571812;2363936
01.548.981/0001-79;2024-12-31;5;146662;INVESTIMENTOS BEMGE S.A.;331411;Capital Subscrito;2015-04-30;123144439.42;n/a;792124;1571812;2363936
01.599.101/0001-93;2024-12-31;13;148110;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;333476;Capital Emitido;2025-03-14;1152400677.76;N/A;35361107;0;35361107
01.599.101/0001-93;2024-12-31;13;148110;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;333477;Capital Subscrito;2025-03-14;1152400677.76;N/A;35361107;0;35361107
01.599.101/0001-93;2024-12-31;13;148110;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;333478;Capital Integralizado;2025-03-14;1152400677.76;N/A;35361107;0;35361107
01.599.101/0001-93;2024-12-31;13;148110;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;333479;Capital Autorizado;2020-08-12;3000000000.00;N/A;0;0;0
01.616.929/0001-02;2024-12-31;8;147476;SANEAMENTO DE GOIAS SA;332928;Capital Emitido;2020-01-30;2515546367.76;;1866906374;648639993;2515546367
01.616.929/0001-02;2024-12-31;8;147476;SANEAMENTO DE GOIAS SA;332929;Capital Subscrito;2020-01-30;2515546367.76;;1866906374;648639993;2515546367
01.616.929/0001-02;2024-12-31;8;147476;SANEAMENTO DE GOIAS SA;332930;Capital Integralizado;2020-01-30;2515546367.76;;1866906374;648639993;2515546367
01.616.929/0001-02;2024-12-31;8;147476;SANEAMENTO DE GOIAS SA;332931;Capital Autorizado;2014-06-04;3125000000.00;;2500000000;625000000;3125000000
01.637.895/0001-32;2024-12-31;5;143845;VOTORANTIM CIMENTOS S.A.;326052;Capital Emitido;2021-10-04;7708353218.99;;9225042782;300571428;9525614210
