CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Data_Constituicao_Emissor;Forma_Constituicao_Emissor;Sigla_Pais_Constituicao_Emissor;Pais_Constituicao_Emissor;Prazo_Duracao_Emissor;Data_Registro_Emissor;Requisicao_Registro_Emissor
82.508.433/0001-17;2020-01-01;12;103176;CIA CATARINENSE DE AGUAS E SANEAM.-CASAN;1971-07-02;Sociedade Anônima de Capital Aberto - A CASAN, foi criada como uma Sociedade de Economia Mista, com o objetivo de coordenar o planejamento e executar, operar e explorar os serviços públicos de esgotos e abastecimento de água potável, bem como realizar obras de saneamento básico, em convênio com municípios do Estado. Sua formação se deu através do antigo Departamento Autônomo de Engenharia Sanitária - DAES, 11(onze) sistema de abastecimento de água e 2 (dois) sistemas de coleta de esgotos existentes nos municípios Catarinenses.;BR;Brasil;;1998-02-06;N
82.636.986/0001-55;2020-01-01;2;102817;TEKA-TECELAGEM KUEHNRICH S.A. - EM RECUPERAÇÃO JUDICIAL;1935-04-06;1050 - Têxtil e VestuárioFabricação de artigos de Cama, Mesa e Banho;BR;Brasil;;1969-12-04;N
82.640.558/0001-04;2020-01-01;3;96138;KARSTEN S.A.;1933-12-12;Sociedade Anônima Aberta;BR;Brasil;;1971-12-29;N
82.643.537/0001-34;2020-01-01;8;100656;ELECTRO ACO ALTONA S.A.;1924-03-08;Em 2018 a Companhia completou 94 anos de atividades, sempre em Blumenau, Santa Catarina. Na década de 50 mediante ata constitutiva, nos tornamos uma Companhia de capital aberto, regido pela CVM.;BR;Brasil;;1950-01-19;N
82.901.000/0001-27;2020-01-01;5;103052;INTELBRAS S.A. IND. DE TELECOMUNICAÇÃO ELETRÔNICA BRASILEIRA;1974-01-11;Sociedade Anônima;BR;Brasil;;2021-02-02;N
82.982.075/0001-80;2020-01-01;2;103299;TEXTIL RENAUXVIEW S.A.;1926-04-27;Sociedade Anônima;BR;Brasil;;1969-08-11;N
83.475.913/0001-91;2020-01-01;7;103680;PBG S/A;1977-12-22;Sociedade Anônima;BR;Brasil;;1991-01-04;N
83.878.892/0001-55;2020-01-01;10;104599;CENTRAIS ELET DE SANTA CATARINA S.A.;1955-12-09;A Centrais Elétricas de Santa Catarina S.A. - Celesc, foi constituída por Escritura Pública lavrada no 3º Ofício de Notas da Comarca de Florianópolis, fls. 10 - verso a 29, livro 3, em 30 de Janeiro de 1956, em decorrência do Decreto Estadual nº 22, de 09 de dezembro de 1955, sendo autorizada a funcionar como Empresa de Energia Elétrica pelo Decreto Federal nº 39.015, de 11 de abril de 1956.;BR;Brasil;;1973-03-26;N
84.429.695/0001-11;2020-01-01;8;103885;WEG S.A.;1961-09-16;Constituída sob a forma de sociedade limitada e transformada em sociedade anônima de capital fechado em 7 de junho de 1965. Em 1971 as ações da Companhia foram admitidas à negociação em bolsa de valores.;BR;Brasil;;1982-02-09;N
84.683.374/0001-49;2020-01-01;9;103026;TUPY S.A.;1938-03-09;Sociedade Anônima;BR;Brasil;;1966-07-01;N
