CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Quantidade_Acionistas_PF;Quantidade_Acionistas_PJ;Quantidade_Acionistas_Investidores_Institucionais;Quantidade_Acoes_Ordinarias_Circulacao;Percentual_Acoes_Ordinarias_Circulacao;Quantidade_Acoes_Preferenciais_Circulacao;Percentual_Acoes_Preferenciais_Circulacao;Quantidade_Total_Acoes_Circulacao;Percentual_Total_Acoes_Circulacao;Data_Ultima_Assembleia
33.386.210/0001-19;2020-01-01;4;105703;SONDOTECNICA ENGENHARIA SOLOS S.A.;2;1;0;20565;2.400000;863346;53.900000;883911;35.960000;2020-04-30
33.412.081/0001-96;2020-01-01;2;97070;REFINARIA DE PETROLEOS MANGUINHOS S.A.;3488;23;8;23634127;34.914401;0;0.000000;23634127;34.914401;2020-07-31
33.467.572/0001-34;2020-01-01;4;103540;TEKNO S.A. - INDUSTRIA E COMERCIO;429;3;8;29134;1.835674;274280;20.157139;303414;10.292861;2020-07-16
33.541.368/0001-16;2020-01-01;4;102698;CIA HIDRO ELÉTRICA DO SÃO FRANCISCO;200;87;18;0;0.000000;34494;1.966799;34494;0.061701;2012-12-28
33.592.510/0001-54;2020-01-01;26;104585;VALE S.A.;201979;2259;1921;5130801424;97.090000;0;0.000000;5130801424;97.090000;2020-04-30
33.611.500/0001-19;2020-01-01;11;104022;GERDAU S.A.;106294;3049;656;14031044;1.390000;995903643;98.610000;1009934687;58.730000;2019-12-10
33.679.797/0001-54;2020-01-01;1;93947;PJBANK SECURITIZADORA S.A.;0;1;0;0;0.000000;0;0.000000;0;0.000000;2019-12-12
33.839.910/0001-11;2020-01-01;11;104784;VIVARA PARTICIPAÇÕES S.A.;54596;132;298;93368726;39.529893;0;0.000000;93368726;39.529893;2020-04-30
33.938.119/0001-69;2020-01-01;6;104823;CIA DISTRIB DE GAS DO RIO DE JANEIRO-CEG;70;6;86;438080;0.180000;0;0.000000;438080;0.180000;2020-06-30
33.958.695/0001-78;2020-01-01;24;104656;UNIPAR CARBOCLORO S.A.;33894;249;158;6262541;6.631738;46351905;49.084502;52614446;55.716240;2020-04-30
