CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Valor_Mobiliario;Quantidade_Pessoa_Fisica;Quantidade_Pessoa_Juridica;Quantidade_Investidor
06.016.348/0001-53;2022-01-01;1;115955;VENTOS DO SUL ENERGIA S.A.;Debêntures;0;0;7
06.047.087/0001-39;2022-01-01;8;125825;REDE D'OR SÃO LUIZ S.A.;Debêntures;0;6;742
06.047.087/0001-39;2022-01-01;8;125825;REDE D'OR SÃO LUIZ S.A.;Nota Comercial;0;0;13
06.057.223/0001-71;2022-01-01;11;123560;SENDAS DISTRIBUIDORA S.A.;Debêntures;0;2;3600000
06.057.223/0001-71;2022-01-01;11;123560;SENDAS DISTRIBUIDORA S.A.;Nota Comercial;0;0;751001
06.164.253/0001-87;2022-01-01;17;127271;GOL LINHAS AEREAS INTELIGENTES S.A.;Bônus de Subscrição;3319;55;0
06.272.793/0001-84;2022-01-01;5;125915;EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A.;Debêntures;0;0;61
06.347.409/0001-65;2022-01-01;7;126931;SBF COMÉRCIO DE PRODUTOS ESPORTIVOS S.A.;Debêntures;0;0;159
06.626.253/0001-51;2022-01-01;12;126730;EMPREENDIMENTOS PAGUE MENOS S.A.;Debêntures;360;28;168
06.977.745/0001-91;2022-01-01;6;123150;BR MALLS PARTICIPACOES S.A.;Debêntures;2998;7;25
06.977.751/0001-49;2022-01-01;15;127086;BR PROPERTIES S.A.;Debêntures;0;43;26
06.981.176/0001-58;2022-01-01;7;126042;CEMIG GERACAO E TRANSMISSAO S.A.;Debêntures;0;0;0
07.040.108/0001-57;2022-01-01;13;125585;CAGECE - CIA DE AGUA E ESGOTO DO CEARA;Debêntures;571;241;0
07.047.251/0001-70;2022-01-01;15;125797;CIA ENERGETICA DO CEARA - COELCE;Debêntures;0;16;354
07.119.838/0001-48;2022-01-01;3;122807;SECME - COMPANHIA SECURITIZADORA DE CRÉDITOS IMOBILIÁRIOS;Certificados de Recebíveis Imobiliários;6473;26;14
