CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Capital_Social_Aumento;Data_Deliberacao;Orgao_Deliberacao_Aumento;Data_Emissao;Valor_Total_Emissao;Tipo_Subscricao;Quantidade_Acoes_Ordinarias;Quantidade_Acoes_Preferenciais;Quantidade_Total_Acoes;Subscricao_Capital_Anterior;Fator_Cotacao;Preco_Emissao;Criterio_Determinacao_Preco_Emissao;Forma_Integralizacao
00.416.968/0001-01;2022-01-01;11;122285;BANCO INTER S.A.;358381;2019-04-15;Conselho de Administração;2019-04-15;261096.60;Subscrição particular;0;49098;49098;0.03020000;R$ por Unidade;5.32000000;O critério utilizado para determinação do preço de emissão foi fixado com base nos Planos de Opções de Ações, aprovados em Assembleias Gerais nas datas de 24.02.2012, 30.09.2016 e 05.02.2018.;A integralização foi em dinheiro (moeda corrente nacional).
00.416.968/0001-01;2022-01-01;11;122285;BANCO INTER S.A.;358382;2019-04-15;Conselho de Administração;2019-04-15;36483.14;Subscrição particular;0;7114;7114;0.00420000;R$ por Unidade;5.13000000;O critério utilizado para determinação do preço de emissão foi fixado com base nos Planos de Opções de Ações, aprovados em Assembleias Gerais nas datas de 24.02.2012, 30.09.2016 e 05.02.2018.;A integralização foi em dinheiro (moeda corrente nacional).
00.416.968/0001-01;2022-01-01;11;122285;BANCO INTER S.A.;358383;2019-04-15;Conselho de Administração;2019-04-15;329202.12;Subscrição particular;0;66911;66911;0.03800000;R$ por Unidade;4.92000000;O critério utilizado para determinação do preço de emissão foi fixado com base nos Planos de Opções de Ações, aprovados em Assembleias Gerais nas datas de 24.02.2012, 30.09.2016 e 05.02.2018.;A integralização foi em dinheiro (moeda corrente nacional).
00.416.968/0001-01;2022-01-01;11;122285;BANCO INTER S.A.;358384;2019-07-29;Conselho de Administração;2019-07-30;1247688000.00;Subscrição pública;31200000;62400000;93600000;144.00000000;R$ por Unidade;13.33000000;A integralização foi em dinheiro (moeda corrente nacional), oriundo da Oferta Pública Primária de Ações do Banco Inter S.A.;Pricing da Oferta Pública de Ações de Emissão do Banco Inter S.A.
00.416.968/0001-01;2022-01-01;11;122285;BANCO INTER S.A.;358385;2019-10-30;Conselho de Administração;2019-10-30;269094.61;Subscrição particular;101204;202408;303612;0.01270000;R$ por Unidade;0.89000000;O critério utilizado para determinação do preço de emissão foi fixado com base nos Planos de Opções de Ações, aprovados em Assembleias Gerais nas datas de 24.02.2012, 30.09.2016 e 05.02.2018.;A integralização foi em dinheiro (moeda corrente nacional).
00.416.968/0001-01;2022-01-01;11;122285;BANCO INTER S.A.;358386;2019-10-30;Conselho de Administração;2019-10-30;119142.20;Subscrição particular;49972;99944;149916;0.00560000;R$ por Unidade;0.79000000;O critério utilizado para determinação do preço de emissão foi fixado com base nos Planos de Opções de Ações, aprovados em Assembleias Gerais nas datas de 24.02.2012, 30.09.2016 e 05.02.2018.;A integralização foi em dinheiro (moeda corrente nacional).
00.416.968/0001-01;2022-01-01;11;122285;BANCO INTER S.A.;358387;2019-10-30;Conselho de Administração;2019-10-30;1566205.62;Subscrição particular;641668;1283336;1925004;0.07410000;R$ por Unidade;0.81000000;O critério utilizado para determinação do preço de emissão foi fixado com base nos Planos de Opções de Ações, aprovados em Assembleias Gerais nas datas de 24.02.2012, 30.09.2016 e 05.02.2018.;A integralização foi em dinheiro (moeda corrente nacional).
00.416.968/0001-01;2022-01-01;11;122285;BANCO INTER S.A.;358388;2020-04-02;Conselho de Administração;2020-04-02;1409753.22;Subscrição particular;589832;1179664;1769496;0.06662000;R$ por Unidade;0.80000000;O critério utilizado para determinação do preço de emissão foi fixado com base nos Planos de Opções de Ações, aprovados em Assembleias Gerais nas datas de 24.02.2012, 30.09.2016 e 05.02.2018.;A integralização foi em dinheiro (moeda corrente nacional).
00.416.968/0001-01;2022-01-01;11;122285;BANCO INTER S.A.;358389;2020-06-29;Conselho de Administração;2020-06-29;6704245.40;Subscrição particular;779201;0;779201;0.31660000;R$ por Unidade;8.60400000;O critério utilizado para determinação do preço de emissão por ação ordinária foi fixado com base na média das cotações das ações ordinárias apuradas no fechamento dos últimos dez pregões do segmento especial de negociação da B3 S.A. - Brasil, Bolsa, Balcão ("B3"), denominado "Nível 2", do dia 12 ao dia 25 de junho de 2020, com a aplicação de um deságio de 20% (vinte por cento). O aumento de capital foi homologado pelo Conselho de Administração do Banco em 31/08/2020 e pelo Banco Central em 03/09/2020.;A integralização se deu em créditos oriundos de juros sobre o capital próprio declarados pelo Banco em 29 de junho de 2020 e/ou dinheiro (moeda corrente nacional).
00.416.968/0001-01;2022-01-01;11;122285;BANCO INTER S.A.;358390;2020-06-29;Conselho de Administração;2020-06-29;7122271.82;Subscrição particular;0;723514;723514;0.33630000;R$ por Unidade;9.84400000;O critério utilizado para determinação do preço de emissão por ação preferencial foi fixado com base na média das cotações das ações preferenciais apuradas no fechamento dos últimos dez pregões do segmento especial de negociação da B3 S.A. - Brasil, Bolsa, Balcão ("B3"), denominado "Nível 2", do dia 12 ao dia 25 de junho de 2020, com a aplicação de um deságio de 20% (vinte por cento). O aumento de capital foi homologado pelo Conselho de Administração do Banco em 31/08/2020 e pelo Banco Central em 03/09/2020.;A integralização se deu em créditos oriundos de juros sobre o capital próprio declarados pelo Banco em 29 de junho de 2020 e/ou dinheiro (moeda corrente nacional).
