CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Plano_Recompra;Especie_Acao;Tipo_Classe_Acao_Preferencial;Quantidade_Adquirida;Escala_Cotacao;Quantidade_Prevista;Valor_Preco_Medio;Percentual_Previsto;Percentual_Adquirido
61.585.865/0001-51;2022-01-01;8;126603;RAIA DROGASIL S.A.;46738;Ordinária;;0;R$ por Unidade;1000000;0.00;0.468987;0.000000
61.585.865/0001-51;2022-01-01;8;126603;RAIA DROGASIL S.A.;46739;Ordinária;;597000;R$ por Unidade;816041;78.60;0.387269;73.158089
62.144.175/0001-20;2022-01-01;24;126017;BCO PINE S.A;46616;Preferencial;;43300;R$ por Unidade;500000;2.97;1.976964;8.660000
64.904.295/0001-03;2022-02-28;8;118353;CAMIL ALIMENTOS S.A.;43690;Ordinária;;3196600;R$ por Unidade;10000000;9.58;9.052355;31.966000
64.904.295/0001-03;2022-02-28;8;118353;CAMIL ALIMENTOS S.A.;43691;Ordinária;;2000000;R$ por Unidade;2000000;9.51;1.778855;100.000000
64.904.295/0001-03;2022-02-28;8;118353;CAMIL ALIMENTOS S.A.;43692;Ordinária;;4000000;R$ por Unidade;4000000;9.83;3.557711;100.000000
64.904.295/0001-03;2022-02-28;8;118353;CAMIL ALIMENTOS S.A.;43693;Ordinária;;4000000;R$ por Unidade;4000000;11.89;3.441501;100.000000
64.904.295/0001-03;2022-02-28;8;118353;CAMIL ALIMENTOS S.A.;43694;Ordinária;;30665030;R$ por Unidade;30665030;6.25;24.919813;100.000000
64.904.295/0001-03;2022-02-28;8;118353;CAMIL ALIMENTOS S.A.;43695;Ordinária;;3565275;R$ por Unidade;3565275;7.02;0.869469;100.000000
67.620.377/0001-14;2022-01-01;15;126969;MINERVA S.A.;46794;Ordinária;;19903200;R$ por Unidade;20000000;10.55;3.646883;99.516000
67.620.377/0001-14;2022-01-01;15;126969;MINERVA S.A.;46795;Ordinária;;0;R$ por Unidade;4829385;0.00;10.000000;0.000000
67.620.377/0001-14;2022-01-01;15;126969;MINERVA S.A.;46796;Ordinária;;0;R$ por Unidade;9247149;0.00;10.000000;0.000000
71.476.527/0001-35;2022-01-01;20;126239;CONSTRUTORA TENDA S.A.;46701;Ordinária;;0;R$ por Unidade;10434424;18.00;10.000000;0.000000
71.476.527/0001-35;2022-01-01;20;126239;CONSTRUTORA TENDA S.A.;46702;Ordinária;;3637578;R$ por Unidade;10434424;27.60;10.000000;34.861320
71.476.527/0001-35;2022-01-01;20;126239;CONSTRUTORA TENDA S.A.;46703;Ordinária;;600;R$ por Unidade;10379362;18.22;10.000000;0.005780
71.476.527/0001-35;2022-01-01;20;126239;CONSTRUTORA TENDA S.A.;46704;Ordinária;;1194500;R$ por Unidade;5408832;29.83;10.000000;22.084250
71.476.527/0001-35;2022-01-01;20;126239;CONSTRUTORA TENDA S.A.;46705;Ordinária;;4489300;R$ por Unidade;5398206;25.18;10.000001;83.162814
73.178.600/0001-18;2022-01-01;11;125767;CYRELA BRAZIL REALTY S.A.EMPREEND E PART;46539;Ordinária;;0;R$ por Unidade;20000000;0.00;7.620000;0.000000
73.178.600/0001-18;2022-01-01;11;125767;CYRELA BRAZIL REALTY S.A.EMPREEND E PART;46540;Ordinária;;17059000;R$ por Unidade;26187698;12.32;10.000000;65.100000
73.178.600/0001-18;2022-01-01;11;125767;CYRELA BRAZIL REALTY S.A.EMPREEND E PART;46541;Ordinária;;19499400;R$ por Unidade;22378516;14.22;5.370945;87.100000
81.243.735/0001-48;2022-01-01;9;127114;POSITIVO TECNOLOGIA S.A.;46877;Ordinária;;0;R$ por Unidade;6000000;0.00;3.500000;0.000000
81.243.735/0001-48;2022-01-01;9;127114;POSITIVO TECNOLOGIA S.A.;46878;Ordinária;;700000;R$ por Unidade;700000;2.35;4.950000;59.200000
83.475.913/0001-91;2022-01-01;3;120117;PBG S/A;44099;Ordinária;;71200;R$ por Unidade;6542817;13.98;10.000000;1.100000
83.475.913/0001-91;2022-01-01;3;120117;PBG S/A;44100;Ordinária;;6999658;R$ por Unidade;6999658;8.91;10.000000;10.000000
83.475.913/0001-91;2022-01-01;3;120117;PBG S/A;44101;Ordinária;;3959156;R$ por Unidade;3959156;4.33;5.000000;5.000000
84.429.695/0001-11;2022-01-01;5;123176;WEG S.A.;45494;Ordinária;;300000;R$ por Unidade;300000;34.43;0.000202;100.000000
