CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Sociedade;Data_Encerramento;Variacao_Percentual_Valor_Contabil;Variacao_Percentual_Valor_Mercado;Valor_Montante_Dividendos_Recebidos
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721188;2019-12-31;0.00000000;0.00000000;165145538.91
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721189;2022-12-31;0.00000000;9.20000000;34154273.15
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721189;2021-12-31;-0.87000000;-11.44000000;694045023.35
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721189;2020-12-31;-0.04000000;21.00000000;234724200.69
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721189;2019-12-31;51.32000000;33.70000000;282534624.36
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721190;2022-12-31;4.66000000;10.59000000;0.00
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721190;2021-12-31;0.00000000;-6.56000000;18577176.12
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721190;2020-12-31;0.00000000;5.05000000;0.00
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721190;2019-12-31;0.00000000;34.29000000;21144641.24
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721191;2022-12-31;4.22000000;0.00000000;0.00
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721191;2021-12-31;0.00000000;0.00000000;0.00
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721191;2020-12-31;28.59000000;0.00000000;0.00
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721191;2019-12-31;0.00000000;0.00000000;0.00
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721192;2022-12-31;3.64000000;-47.05000000;0.00
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721192;2021-12-31;0.00000000;0.77000000;114314655.64
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721192;2020-12-31;0.00000000;104.20000000;23403100.25
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721192;2019-12-31;0.00000000;102.13000000;10722662.24
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721193;2022-12-31;0.00000000;4.32000000;0.00
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721193;2021-12-31;7.68000000;170.90000000;2194378.88
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721193;2020-12-31;0.00000000;-6.53000000;0.00
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721193;2019-12-31;0.00000000;57.20000000;453278.76
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721194;2022-12-31;0.00000000;15.75000000;18482664.20
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721194;2021-12-31;0.00000000;-19.46000000;14702119.25
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721194;2020-12-31;400.00000000;-2.19000000;5040726.60
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721194;2019-12-31;0.00000000;44.29000000;10333489.53
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721195;2022-12-31;2.12000000;-4.46000000;0.00
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721195;2021-12-31;0.00000000;-14.72000000;254495028.48
