CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Empresarial;Canal_Divulgacao;Sigla_UF
09.146.451/0001-06;2022-01-01;1;118314;KALLAS INCORPORAÇÕES E CONSTRUÇÕES S.A.;Diário Oficial do Estado de São Paulo;SP
09.146.451/0001-06;2022-01-01;1;118314;KALLAS INCORPORAÇÕES E CONSTRUÇÕES S.A.;Gazeta de São Paulo;SP
09.149.503/0001-06;2022-01-01;3;118399;OMEGA GERAÇÃO S.A.;Diário do Comércio (Belo Horizonte);MG
09.149.503/0001-06;2022-01-01;3;118399;OMEGA GERAÇÃO S.A.;Diario Oficial do Estado;MG
09.149.503/0001-06;2022-01-01;3;118399;OMEGA GERAÇÃO S.A.;portal.mzgroup.com;SP
09.229.201/0001-30;2022-01-01;3;121341;GPS PARTICIPAÇÕES E EMPREENDIMENTOS S.A.;Data Mercantil;SP
09.229.201/0001-30;2022-01-01;3;121341;GPS PARTICIPAÇÕES E EMPREENDIMENTOS S.A.;https://portal.mzgroup.com/;SP
09.257.877/0001-37;2022-01-01;1;112217;FERROVIA NORTE SUL S/A;Diário Oficial do Estado do Maranhão;MA
09.257.877/0001-37;2022-01-01;1;112217;FERROVIA NORTE SUL S/A;O Imparcial;MA
09.267.996/0001-70;2022-01-01;1;116403;Yuny Incorporadora Holding S.A.;Diário Oficial do Estado;SP
09.267.996/0001-70;2022-01-01;1;116403;Yuny Incorporadora Holding S.A.;https://www.portalneo1.net/;SP
09.267.996/0001-70;2022-01-01;1;116403;Yuny Incorporadora Holding S.A.;ri.yuny.com.br;SP
09.267.996/0001-70;2022-01-01;1;116403;Yuny Incorporadora Holding S.A.;Valor Econômico;SP
09.288.252/0001-32;2022-01-01;3;122523;ANIMA HOLDING S.A.;Rede de Divulgação - https://www.rededivulgacao.com.br;SP
09.288.252/0001-32;2022-01-01;3;122523;ANIMA HOLDING S.A.;Valor Econômico;SP
09.295.063/0001-97;2022-01-01;3;112759;TECHNOS S.A.;Jornal Monitor Mercantil;RJ
09.295.063/0001-97;2022-01-01;3;112759;TECHNOS S.A.;Portal de Notícia Online - Jornal Monitor Mercantil (apenas para fato relevante);RJ
09.304.427/0001-58;2022-01-01;2;116360;HABITASEC SECURITIZADORA SA;Diário Oficial;SP
09.304.427/0001-58;2022-01-01;2;116360;HABITASEC SECURITIZADORA SA;O Estado de São Paulo;SP
09.305.994/0001-29;2022-01-01;1;115875;AZUL S.A.;Diário Comercial;SP
09.305.994/0001-29;2022-01-01;1;115875;AZUL S.A.;Diário Oficial do Estado de Sao Paulo;SP
09.305.994/0001-29;2022-01-01;1;115875;AZUL S.A.;www.voeazul.com.br/ri;SP
09.313.969/0001-97;2022-01-01;3;118538;AUTOPISTA LITORAL SUL;Jornal Tribuna do Paraná;PR
09.324.949/0001-11;2022-01-01;4;112155;AUTOPISTA FLUMINENSE SA;Monitor Mercantil - RJ - Digital;RJ
09.324.949/0001-11;2022-01-01;4;112155;AUTOPISTA FLUMINENSE SA;Monitor Mercantil - RJ - Impresso;RJ
09.325.109/0001-73;2022-01-01;4;118537;AUTOPISTA PLANALTO SUL SA;Tribuna do Paraná;PR
09.326.342/0001-70;2022-01-01;5;118311;AUTOPISTA FERNÃO DIAS SA;Diário do Comércio de Minas Gerais;MG
09.336.431/0001-06;2022-01-01;4;118539;AUTOPISTA REGIS BITTENCOURT SA;Folha de São Paulo;SP
09.346.601/0001-25;2022-01-01;2;122236;B3 S.A. - BRASIL, BOLSA, BALCÃO;http://www.valor.com.br/ri;BR
09.346.601/0001-25;2022-01-01;2;122236;B3 S.A. - BRASIL, BOLSA, BALCÃO;Valor Econômico;SP
09.347.516/0001-81;2022-01-01;1;116057;ELETROMIDIA S.A.;Jornal Gazeta de São Paulo;SP
09.391.823/0001-60;2022-01-01;3;120299;SANTO ANTONIO ENERGIA S.A.;http://www.portalneo1.net/;SP
09.391.823/0001-60;2022-01-01;3;120299;SANTO ANTONIO ENERGIA S.A.;Jornal o Dia SP;SP
09.391.823/0001-60;2022-01-01;3;120299;SANTO ANTONIO ENERGIA S.A.;www.jornalodiasp.com.br;SP
09.391.823/0001-60;2022-01-01;3;120299;SANTO ANTONIO ENERGIA S.A.;www.santoantonioenergia.com.br/ri;SP
09.414.761/0001-64;2022-01-01;1;115643;K-INFRA RODOVIA DO AÇO S.A.;Diário do Acionista;RJ
