CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Capital_Social_Desdobramento;Data_Aprovacao;Tipo_Evento;Quantidade_Acoes_Ordinarias_Antes_Aprovacao;Quantidade_Acoes_Preferenciais_Antes_Aprovacao;Quantidade_Total_Acoes_Antes_Aprovacao;Quantidade_Acoes_Ordinarias_Depois_Aprovacao;Quantidade_Acoes_Preferenciais_Depois_Aprovacao;Quantidade_Total_Acoes_Depois_Aprovacao
08.764.621/0001-53;2021-01-01;5;114452;GENERAL SHOPPING E OUTLETS DO BRASIL BRASIL S.A.;28031;2019-12-11;Grupamento;69435699;0;69435699;1928769;0;1928769
08.797.760/0001-83;2021-01-01;4;114521;CURY CONSTRUTORA E INCORPORADORA S.A.;28053;2020-08-25;Desdobramento;136846635;0;136846635;273693270;0;273693270
08.811.643/0001-27;2021-01-01;4;119752;TRISUL S.A.;29919;2018-04-27;Desdobramento;73058769;0;73058769;146117538;0;146117538
08.902.291/0001-15;2021-01-01;9;114689;CSN MINERAÇÃO S.A.;28090;2020-10-15;Desdobramento;181001902;0;181001902;5430057060;0;5430057060
08.926.302/0001-05;2021-01-01;9;114842;DOMMO ENERGIA S.A.;28121;2019-04-30;Grupamento;2700402287;0;2700402287;270040228;0;270040228
09.042.817/0001-05;2021-01-01;18;115635;BEMOBI MOBILE TECH S.A.;28220;2019-09-05;Desdobramento;40767354;0;40767354;4076735400;0;4076735400
09.042.817/0001-05;2021-01-01;18;115635;BEMOBI MOBILE TECH S.A.;28221;2020-10-13;Grupamento;18339103855;0;18339103855;41176470;0;41176470
09.083.175/0001-84;2021-01-01;8;111419;MOSAICO TECNOLOGIA AO CONSUMIDOR S.A.;27424;2021-01-12;Desdobramento;97375;0;97375;97375000;0;97375000
09.112.685/0001-32;2021-01-01;5;115590;OSX BRASIL S.A. - EM RECUPERAÇÃO JUDICIAL;28204;2016-05-09;Grupamento;312563568;0;312563568;3125635;0;3125635
09.114.805/0001-30;2021-01-01;13;116042;OCEANPACT SERVIÇOS MARITIMOS S.A.;28315;2020-12-07;Desdobramento;5128427;0;5128427;128210675;0;128210675
09.229.201/0001-30;2021-01-01;7;114973;GPS PARTICIPAÇÕES E EMPREENDIMENTOS S.A.;28137;2021-03-26;Desdobramento;5773032;0;5773032;577303200;0;577303200
09.288.252/0001-32;2021-01-01;5;114695;ANIMA HOLDING S.A.;28092;2021-02-18;Desdobramento;134622935;0;134622935;403868805;0;403868805
09.305.994/0001-29;2021-01-01;9;115872;AZUL S.A.;28274;2017-02-23;Desdobramento;464482529;127285633;591768162;928965058;254571266;1183536324
09.347.516/0001-81;2021-01-01;11;115493;ELETROMIDIA S.A.;28168;2020-12-03;Desdobramento;874787;0;874787;96226570;0;96226570
09.527.023/0001-23;2021-01-01;2;108948;ENVIRONMENTAL ESG PARTICIPAÇÕES S.A.;26802;2021-09-17;Desdobramento;18000000;0;18000000;216000000;0;216000000
09.813.204/0001-16;2021-01-01;4;108129;W2W E-COMMERCE DE VINHOS S.A.;26499;2020-10-06;Desdobramento;219647;0;219647;86540918;0;86540918
10.215.988/0001-60;2021-01-01;8;122058;COMPANHIA DE LOCAÇÃO DAS AMÉRICAS;30444;2019-10-17;Desdobramento;149243137;149243137;447729411;0;0;447729411
10.285.590/0001-08;2021-01-01;21;114627;GRUPO DE MODA SOMA S.A.;28075;2020-02-12;Desdobramento;13646107;0;13646107;300214354;0;300214354
10.440.482/0001-54;2021-01-01;11;114478;GETNET ADQ E SERV PARA MEIOS DE PAGTO S.A. - INST PAGTO;28040;2021-02-24;Desdobramento;69565000;0;69565000;950718477;916003725;1866722202
10.629.105/0001-68;2021-01-01;14;115628;PRIO S.A.;28218;2019-03-01;Desdobramento;13557579;0;13557579;135575790;0;135575790
10.629.105/0001-68;2021-01-01;14;115628;PRIO S.A.;28219;2021-04-30;Desdobramento;175666169;0;175666169;878330845;0;878330845
10.739.356/0001-03;2021-01-01;17;114742;BRBI BR PARTNERS S.A;28107;2020-09-01;Desdobramento;89578575;29859525;119438100;179157150;59719050;238876200
10.807.374/0001-77;2021-01-01;9;114535;BOA SAFRA SEMENTES S.A.;28057;2021-02-22;Desdobramento;8834460;0;8834460;70675680;0;70675680
11.421.994/0001-36;2021-01-01;7;114473;ORIZON VALORIZAÇÃO DE RESÍDUOS S.A.;28038;2021-01-25;Desdobramento;5416365;0;5416365;54163650;0;54163650
11.721.921/0001-60;2021-01-01;10;115667;ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.;28229;2015-10-19;Grupamento;103458790;0;103458790;5172939;0;5172939
11.725.176/0001-27;2021-01-01;11;115601;BOA VISTA SERVIÇOS S.A.;28207;2019-12-10;Desdobramento;124535;0;124535;373605000;0;373605000
12.049.631/0001-84;2021-01-01;9;114003;MOURA DUBEUX ENGENHARIA S/A;27920;2020-01-17;Grupamento;401377204;0;401377204;26758480;0;26758480
12.091.809/0001-55;2021-01-01;26;114714;BRAVA ENERGIA S.A.;28100;2020-08-31;Grupamento;42806664;0;42806664;1189074;0;1189074
12.104.241/0004-02;2021-01-01;17;115232;ONCOCLÍNICAS DO BRASIL SERVIÇOS MÉDICOS S.A.;28148;2021-05-26;Desdobramento;4050582;0;4050582;405058200;0;405058200
12.108.897/0001-50;2021-01-01;7;114346;D1000 VAREJO FARMA PARTICIPAÇÕES S.A.;28009;2020-07-15;Grupamento;676665928;0;676665928;27066637;0;27066637
13.270.520/0001-66;2021-01-01;16;113700;KORA SAÚDE PARTICIPAÇÕES S.A.;27815;2021-02-19;Desdobramento;20692667;0;20692667;413853340;0;413853340
13.457.942/0001-45;2021-01-01;2;109032;RIVA INCORPORADORA S.A;26839;2020-06-24;Desdobramento;1000;0;1000;50000000;0;50000000
13.574.594/0001-96;2021-01-01;17;115705;ZAMP SA;28237;2017-10-11;Desdobramento;1648703;0;1648703;164870300;0;164870300
13.783.221/0004-78;2021-01-01;6;112927;MADERO INDÚSTRIA E COMÉRCIO S.A.;27699;2021-08-26;Desdobramento;31724641;0;31724641;317246410;0;317246410
14.110.585/0001-07;2021-01-01;13;114472;MÉLIUZ S.A.;28035;2020-09-01;Desdobramento;5283012;0;5283012;7151173;0;7151173
14.110.585/0001-07;2021-01-01;13;114472;MÉLIUZ S.A.;28036;2020-10-05;Desdobramento;7151173;0;7151173;92965249;0;92965249
14.110.585/0001-07;2021-01-01;13;114472;MÉLIUZ S.A.;28037;2021-09-03;Desdobramento;133933000;0;133933000;803598000;0;803598000
14.388.334/0001-99;2021-01-01;5;113647;PARANA BCO S.A.;27802;2020-01-31;Desdobramento;41196081;40248014;81444095;205980405;201240070;407220475
14.388.334/0001-99;2021-01-01;5;113647;PARANA BCO S.A.;27803;2020-02-20;Desdobramento;205980405;201240070;407220475;1647843240;1609920560;3257763800
14.785.152/0001-51;2021-01-01;12;115699;HBR REALTY EMPREENDIMENTOS IMOBILIÁRIOS S.A.;28236;2020-10-26;Grupamento;194966943;0;194966943;64988981;0;64988981
14.807.945/0001-24;2021-01-01;3;113722;SANSUY S.A. INDUSTRIA DE PLASTICOS;27829;2020-07-27;Desdobramento;66448;126462;192910;2657920;5058480;7716400
14.882.295/0001-81;2021-01-01;5;114009;CBO HOLDING S.A.;27926;2020-08-03;Grupamento;1046876633;0;1046876633;130859578;0;130859578
15.073.274/0001-88;2021-01-01;2;111192;PPLA PARTICIPATIONS LTD.;27325;2017-09-06;Grupamento;0;819095566;819095566;0;91010620;91010620
15.073.274/0001-88;2021-01-01;2;111192;PPLA PARTICIPATIONS LTD.;27326;2020-03-18;Grupamento;0;84440020;84440020;0;2814667;2814667
15.675.715/0001-11;2021-01-01;1;121102;HOUSI S.A.;30323;2020-08-19;Grupamento;27837899;0;27837899;1391894;0;1391894
16.670.085/0001-55;2021-01-01;11;114350;LOCALIZA RENT A CAR S.A.;28010;2019-12-12;Bonificação;722349210;0;722349210;758466670;0;758466670
16.676.520/0001-59;2021-01-01;16;115559;HOSPITAL MATER DEI S.A.;28195;2021-03-19;Desdobramento;114620829;0;114620829;286552072;0;286552072
16.811.931/0001-00;2021-01-01;6;114724;ALPHAVILLE S.A.;28103;2020-08-10;Grupamento;2618119346;0;2618119346;68897877;0;68897877
16.811.931/0001-00;2021-01-01;6;114724;ALPHAVILLE S.A.;28104;2020-09-22;Grupamento;68897877;0;68897877;11484979;0;11484979
16.922.038/0001-51;2021-01-01;16;115750;ENJOEI S.A.;28252;2020-09-28;Grupamento;171287748;0;171287748;149533382;0;149533382
17.155.730/0001-64;2021-01-01;10;115710;CIA ENERGETICA DE MINAS GERAIS - CEMIG;28242;2020-07-31;Bonificação;487614213;971138388;1458752601;507670289;1011082312;1518752601
17.155.730/0001-64;2021-01-01;10;115710;CIA ENERGETICA DE MINAS GERAIS - CEMIG;28243;2021-04-30;Bonificação;507670289;1011082312;1518752601;566036634;1127325434;1693362068
17.184.037/0001-10;2021-01-01;19;114476;BCO MERCANTIL DO BRASIL S.A.;28039;2021-12-13;Desdobramento;32577872;19837918;52415790;65155744;39675836;104831580
17.281.106/0001-03;2021-01-01;16;114506;CIA SANEAMENTO DE MINAS GERAIS-COPASA MG;28052;2020-11-19;Desdobramento;126751023;0;126751023;380253069;0;380253069
17.344.597/0001-94;2021-01-01;17;114072;BB SEGURIDADE PARTICIPAÇÕES S.A.;27942;2012-12-31;Desdobramento;15000;0;15000;1250000;0;1250000
17.344.597/0001-94;2021-01-01;17;114072;BB SEGURIDADE PARTICIPAÇÕES S.A.;27943;2013-03-28;Desdobramento;470563927;0;470563927;2000000000;0;2000000000
17.359.233/0001-88;2021-01-01;2;114052;TECIDOS E ARMARINHOS MIGUEL BARTOLOMEU S.A.;27935;2021-12-06;Desdobramento;3830000;0;3830000;383000000;0;383000000
18.174.270/0001-84;2021-01-01;10;114785;DOTZ S.A.;28115;2021-04-19;Desdobramento;1374705;0;1374705;96229350;0;96229350
18.328.118/0001-09;2021-01-01;19;115336;PET CENTER COMÉRCIO E PARTICIPAÇÕES S.A.;28152;2020-02-18;Desdobramento;174183;0;174183;174183000;0;174183000
18.328.118/0001-09;2021-01-01;19;115336;PET CENTER COMÉRCIO E PARTICIPAÇÕES S.A.;28153;2020-08-18;Desdobramento;174183000;0;174183000;348366000;0;348366000
18.483.666/0001-03;2021-01-01;5;108468;HUMBERG AGRIBRASIL COMÉRCIO E EXPORTAÇÃO DE GRÃOS S.A.;26624;2021-07-15;Desdobramento;1100000;0;1100000;88000000;0;88000000
18.593.815/0001-97;2021-01-01;12;115602;PRINER SERVIÇOS INDUSTRIAIS S.A.;28208;2019-12-12;Grupamento;123920981;0;123920981;20653497;0;20653497
19.378.769/0001-76;2021-01-01;7;114656;INSTITUTO HERMES PARDINI S.A.;28081;2017-01-18;Desdobramento;3633665;0;3633665;121122166;0;121122166
19.796.586/0001-70;2021-01-01;4;109113;BRISANET PARTICIPAÇÕES S.A.;26857;2021-07-06;Desdobramento;71859213;0;71859213;359296065;0;359296065
19.853.511/0001-84;2021-01-01;7;111817;NOTRE DAME INTERMÉDICA PARTICIPAÇÕES S.A.;27534;2018-03-27;Grupamento;1003534757;0;1003534757;467591549;0;467591549
20.247.322/0001-47;2021-01-01;15;114341;ALLIED TECNOLOGIA S.A.;28008;2020-02-03;Grupamento;636973080;0;636973080;79621635;0;79621635
21.110.778/0001-23;2021-01-01;3;111168;OLIVEIRA TRUST S.A.;27308;2021-03-31;Desdobramento;107691537;5308463;113000000;323074611;15925389;339000000
21.240.146/0001-84;2021-01-01;10;112883;AGROGALAXY PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL;27698;2020-12-17;Grupamento;691642618;0;691642618;138328524;0;138328524
21.255.567/0001-89;2021-01-01;3;114106;CIA TECIDOS SANTANENSE EM RECUPERAÇÃO JUDICIAL;27949;2020-06-25;Bonificação;38041111;1258019;39299130;38041111;73258019;111299130
22.543.331/0001-00;2021-01-01;12;115714;CAIXA SEGURIDADE PARTICIPAÇÕES S.A.;28244;2020-09-15;Desdobramento;1200000000;0;1200000000;3000000000;0;3000000000
22.902.694/0001-95;2021-01-01;1;110707;SELF IT ACADEMIAS HOLDING S.A.;27158;2021-12-10;Grupamento;12758079;0;12758079;63790395;0;63790395
23.236.821/0001-27;2021-01-01;1;105482;PATRIMAR ENGENHARIA S.A.;25903;2020-08-05;Grupamento;27972479422;0;27972479422;174827996;0;174827996
23.236.821/0001-27;2021-01-01;1;105482;PATRIMAR ENGENHARIA S.A.;25904;2020-10-05;Grupamento;174827996;0;174827996;58275999;0;58275999
23.373.000/0001-32;2021-01-01;11;114448;VAMOS LOCAÇÃO DE CAMINHÕES, MÁQUINAS E EQUIPAMENTOS S.A.;28028;2019-04-08;Grupamento;290453495;0;290453495;96817831;0;96817831
23.373.000/0001-32;2021-01-01;11;114448;VAMOS LOCAÇÃO DE CAMINHÕES, MÁQUINAS E EQUIPAMENTOS S.A.;28029;2020-03-05;Desdobramento;96817831;0;96817831;96817831;0;193635662
23.373.000/0001-32;2021-01-01;11;114448;VAMOS LOCAÇÃO DE CAMINHÕES, MÁQUINAS E EQUIPAMENTOS S.A.;28030;2021-08-13;Desdobramento;227850990;0;227850990;911403960;0;911403960
23.438.929/0001-00;2021-01-01;6;111404;ALARES INTERNET PARTICIPAÇÕES S/A;27421;2020-09-15;Grupamento;380646045;0;380646045;126882015;0;126882015
23.864.409/0001-51;2021-01-01;5;113822;HOLDING VERZANI E SANDRINI S.A.;27859;2021-10-15;Desdobramento;16469013;0;16469013;164690130;0;164690130
24.230.275/0001-80;2021-01-01;10;115608;PLANO & PLANO DESENVOLVIMENTO IMOBILIÁRIO S.A.;28211;2020-08-21;Desdobramento;10000;0;10000;200000000;0;200000000
24.410.913/0001-44;2021-01-01;5;111575;NU HOLDINGS LTD.;27465;2019-12-30;Desdobramento;28038762;16972741;45011503;700966550;424318525;1125285075
24.410.913/0001-44;2021-01-01;5;111575;NU HOLDINGS LTD.;27466;2021-08-30;Desdobramento;1541255016;478614362;2019869378;9247515096;2871686172;12119201268
24.921.465/0001-43;2021-01-01;3;110330;BLUEFIT ACADEMIAS DE GINÁSTICA E PARTICIPAÇÕES S.A.;27020;2021-09-01;Desdobramento;613669;0;613669;73640280;0;73640280
25.249.439/0001-83;2021-01-01;6;120254;HOSPITAL CARE CALEDONIA S.A.;29985;2021-03-27;Grupamento;399876313;0;399876313;99969078;0;99969078
25.369.840/0001-57;2021-01-01;12;113309;COMERC ENERGIA S.A.;27732;2021-08-06;Grupamento;260157968;0;260157968;86719323;0;86719323
26.345.998/0001-50;2021-01-01;10;115613;TC S.A.;28215;2021-03-31;Desdobramento;5000000;0;5000000;200000000;0;200000000
26.659.061/0001-59;2021-01-01;13;115752;MPM CORPÓREOS S.A.;28253;2021-01-07;Desdobramento;8801583;0;8801583;176031660;0;176031660
