CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Posicao;Quantidade_Ate30Anos;Quantidade_30a50Anos;Quantidade_Acima50Anos
02.558.157/0001-62;2023-12-31;7;135834;TELEFÔNICA BRASIL S.A;Não-liderança;7091;19164;2585
02.591.787/0001-39;2023-12-31;4;127141;CAPITALPART PARTICIPACOES S.A.;Liderança;0;0;0
02.591.787/0001-39;2023-12-31;4;127141;CAPITALPART PARTICIPACOES S.A.;Não-liderança;0;0;0
02.664.042/0001-52;2023-12-31;2;135883;TERMINAL GARAGEM MENEZES CORTES S.A.;Liderança;0;3;2
02.664.042/0001-52;2023-12-31;2;135883;TERMINAL GARAGEM MENEZES CORTES S.A.;Não-liderança;5;35;2
02.762.121/0001-04;2023-12-31;9;136600;SANTOS BRASIL PARTICIPACOES S.A.;Liderança;9;226;64
02.762.121/0001-04;2023-12-31;9;136600;SANTOS BRASIL PARTICIPACOES S.A.;Não-liderança;624;1805;536
02.762.124/0001-30;2023-12-31;2;136559;BETAPART PARTICIPACOES S.A.;Liderança;0;0;0
02.762.124/0001-30;2023-12-31;2;136559;BETAPART PARTICIPACOES S.A.;Não-liderança;0;0;0
02.796.775/0001-40;2023-12-31;2;136560;GAMA PARTICIPACOES S.A.;Liderança;0;0;0
02.796.775/0001-40;2023-12-31;2;136560;GAMA PARTICIPACOES S.A.;Não-liderança;0;0;0
02.800.026/0001-40;2023-12-31;16;137698;COGNA EDUCAÇÃO S.A.;Liderança;190;1539;208
02.800.026/0001-40;2023-12-31;16;137698;COGNA EDUCAÇÃO S.A.;Não-liderança;5544;13636;2228
02.846.056/0001-97;2023-12-31;10;136034;MOTIVA INFRAESTRUTURA DE MOBILIDADE S.A.;Liderança;170;1558;207
02.846.056/0001-97;2023-12-31;10;136034;MOTIVA INFRAESTRUTURA DE MOBILIDADE S.A.;Não-liderança;4771;9184;1309
02.860.694/0001-62;2023-12-31;10;137709;T4F ENTRETENIMENTO S.A.;Liderança;3;14;3
02.860.694/0001-62;2023-12-31;10;137709;T4F ENTRETENIMENTO S.A.;Não-liderança;38;25;2
02.916.265/0001-60;2023-12-31;10;137802;JBS S.A.;Liderança;1421;9475;2966
02.916.265/0001-60;2023-12-31;10;137802;JBS S.A.;Não-liderança;80101;118952;46364
02.932.074/0001-91;2023-12-31;9;137158;HYPERA S.A.;Liderança;113;1059;108
02.932.074/0001-91;2023-12-31;9;137158;HYPERA S.A.;Não-liderança;3627;5309;567
02.950.811/0001-89;2023-12-31;19;136543;PDG REALTY S.A. EMPREEND E PARTICIPACOES;Liderança;2;37;3
02.950.811/0001-89;2023-12-31;19;136543;PDG REALTY S.A. EMPREEND E PARTICIPACOES;Não-liderança;34;65;2
02.992.449/0001-09;2023-12-31;2;136562;PROMPT PARTICIPACOES S.A.;Liderança;0;0;0
02.992.449/0001-09;2023-12-31;2;136562;PROMPT PARTICIPACOES S.A.;Não-liderança;0;0;0
02.998.301/0001-81;2023-12-31;11;137175;RIO PARANAPANEMA ENERGIA S.A.;Liderança;17;14;1
02.998.301/0001-81;2023-12-31;11;137175;RIO PARANAPANEMA ENERGIA S.A.;Não-liderança;173;77;0
02.998.611/0001-04;2023-12-31;11;137825;ISA ENERGIA BRASIL;Liderança;1;92;16
02.998.611/0001-04;2023-12-31;11;137825;ISA ENERGIA BRASIL;Não-liderança;224;915;196
